,account,0x98Afac3b663113D29dc2Cd8C2d1d14793692F110,mvs_transfer_in,0xe9e7cea3dedca5984780bafc599bd69add087d56,0x55d398326f99059ff775485246999027b3197955,0xba2ae424d960c26247dd6c32edc70b295c744c43,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,external_approve,liquidity_method
135,0x332c0abc1f3cc523c117e4a4ae3dd13af284d5d8,0,0,25658622452383829391,0,0,0,False,False
136,0xb3d652350d2280e86e87f2d986b1ad115b306072,0,0,17479454059587385606,0,0,0,False,False
137,0x1c78518c3976cb94e87de6cf4aeeafe0ae7aa246,0,0,-235432203644199344996,0,0,0,False,False
138,0x298dd0459a7b37bdb6f5e7963be4025e2df652d0,0,0,8779105201372750643463,0,0,0,False,False
139,0xd10618e957be965a8a0f492dcbf0ab47587982c9,0,0,-221281173204822161026,0,0,0,False,False
140,0xc44a5a7e1a0f44caaad28f293ce1dd4f347b0351,0,0,128220036215001956,0,0,0,False,False
141,0xfcbd5f4ca0f722c62a11915ec2b76ee0d183dc4e,38666472167430277412936,0,-257053860590253570918,0,0,0,False,False
142,0x270cab33035b6df9bf2b25f9f2db38f365e4d4ee,0,0,50350530750611471137,0,0,0,False,False
143,0xe50ee1b878bd667c82e87840f38c991991069003,0,0,-65980776311152546643,0,0,0,False,False
144,0x69d4d7da90ac2f11a58d60e14b18c8bdba234068,82804752840005758829695,0,228691658323226377839,0,0,0,False,False
145,0x6d56464cb19b9575eeb79fee993283ebee934236,10365240372414992188645,0,-7262371543539565584,0,0,0,False,False
146,0x55b02ee97c2965ac6a3c223a16dbff89ad3fcdbc,0,0,1641495242643154042,0,0,0,False,False
147,0x98bb6f1f6bf0196cf886be5544c8297be7c8c1ac,0,0,-52248554321365556411,0,0,0,False,False
148,0x80f2f97c3f4cb314a693f774000369ce43aa4f8e,0,0,-286244064602128399525,0,0,0,False,False
149,0x6d43d14a9ab50d7d6cf0e332d12652fd651a92f9,6063721865629856977529159,0,-28595993493005124818176,0,0,0,False,False
150,0x0d31b7833f4632811a5ab904c12fa4f0d682c619,0,0,-8638855528287410709,0,0,0,False,False
151,0x58771ddf3c9e7fa6df64759fbdd5539bfbc2ebcf,0,0,0,0,0,0,True,False
152,0xef4ee1b9a050433a7be5d6f0ab9d2f3207d4b1a2,-441341195900568140013,441341195900568140013,-67758571566818152959,0,0,0,False,False
